vaga_id,tecnologia
202,ITIL
203,Python
203,AWS
203,Node.js
204,Excel Avançado
204,SQL
205,React
205,CSS
205,TypeScript
205,JavaScript
206,Python
206,SQL
207,Redes
207,ITIL
208,Python
208,Excel Avançado
209,ITIL
209,Redes
209,Windows Server
209,Active Directory
210,SQL
210,Power BI
210,Python
210,Excel Avançado
211,Excel Avançado
211,SQL
211,Python
211,Power BI
212,Node.js
212,PostgreSQL
212,Java
213,JavaScript
213,TypeScript
213,CSS
213,React
214,ITIL
214,Redes
214,Windows Server
215,Java
215,AWS
215,Node.js
216,AWS
216,PostgreSQL
217,Docker
217,AWS
218,Node.js
218,Python
219,Node.js
219,Docker
219,AWS
219,Python
220,Windows Server
220,Active Directory
221,Java
221,PostgreSQL
221,Docker
221,AWS
222,AWS
222,Docker
223,JavaScript
223,React
224,Python
224,Node.js
225,Redes
225,Active Directory
225,Windows Server
225,ITIL
226,Python
226,Node.js
227,Redes
227,ITIL
227,Windows Server
228,JavaScript
228,React
229,SQL
229,Python
229,Power BI
229,Excel Avançado
230,TypeScript
230,CSS
230,JavaScript
230,React
231,TypeScript
231,React
231,CSS
231,JavaScript
232,Power BI
232,SQL
232,Excel Avançado
232,Python
233,PostgreSQL
233,Python
233,Java
233,Node.js
234,CSS
234,React
234,JavaScript
234,TypeScript
235,Docker
235,Python
236,Active Directory
236,Windows Server
236,ITIL
237,Redes
237,Windows Server
237,ITIL
238,SQL
238,Excel Avançado
238,Python
239,PostgreSQL
239,Docker
239,AWS
240,Python
240,AWS
240,PostgreSQL
240,Node.js
241,PostgreSQL
241,Docker
242,React
242,JavaScript
242,TypeScript
242,CSS
243,Windows Server
243,Redes
243,Active Directory
244,Python
244,Power BI
244,Excel Avançado
244,SQL
245,Excel Avançado
245,Python
245,SQL
245,Power BI
246,Java
246,PostgreSQL
246,Python
246,Node.js
247,AWS
247,Python
247,PostgreSQL
248,Docker
248,AWS
248,Python
248,PostgreSQL
249,TypeScript
249,JavaScript
249,CSS
250,Windows Server
250,Redes
250,Active Directory
250,ITIL
251,PostgreSQL
251,AWS
251,Python
251,Node.js
252,React
252,TypeScript
252,JavaScript
252,CSS
253,Java
253,PostgreSQL
253,AWS
254,Redes
254,Windows Server
254,Active Directory
254,ITIL
255,SQL
255,Power BI
255,Excel Avançado
255,Python
256,Active Directory
256,ITIL
257,Excel Avançado
257,Power BI
257,Python
257,SQL
258,Python
258,Docker
258,PostgreSQL
259,Docker
259,AWS
260,Windows Server
260,ITIL
260,Active Directory
261,Redes
261,Windows Server
262,AWS
262,Node.js
262,Python
263,Excel Avançado
263,Python
263,SQL
263,Power BI
264,Python
264,Java
264,Docker
265,Docker
265,PostgreSQL
266,Active Directory
266,ITIL
266,Windows Server
266,Redes
267,Excel Avançado
267,Python
267,SQL
267,Power BI
268,CSS
268,JavaScript
268,React
268,TypeScript
269,Excel Avançado
269,Python
269,Power BI
269,SQL
270,Java
270,PostgreSQL
271,TypeScript
271,React
272,Windows Server
272,ITIL
273,Node.js
273,PostgreSQL
273,AWS
274,Python
274,Excel Avançado
274,SQL
274,Power BI
275,Redes
275,Windows Server
275,ITIL
276,React
276,CSS
276,TypeScript
276,JavaScript
277,React
277,CSS
277,TypeScript
277,JavaScript
278,Python
278,Power BI
278,SQL
278,Excel Avançado
279,AWS
279,PostgreSQL
279,Java
280,Redes
280,ITIL
281,SQL
281,Python
281,Excel Avançado
281,Power BI
282,AWS
282,PostgreSQL
282,Node.js
282,Java
283,Python
283,Excel Avançado
283,Power BI
283,SQL
284,Active Directory
284,Windows Server
284,ITIL
285,CSS
285,JavaScript
285,React
286,AWS
286,Python
287,Windows Server
287,ITIL
287,Active Directory
287,Redes
288,Excel Avançado
288,Python
289,React
289,JavaScript
289,CSS
289,TypeScript
290,Node.js
290,PostgreSQL
291,Power BI
291,Python
291,SQL
292,Node.js
292,Python
293,React
293,TypeScript
293,CSS
293,JavaScript
294,Power BI
294,SQL
294,Excel Avançado
295,CSS
295,TypeScript
296,Windows Server
296,Active Directory
296,ITIL
297,Docker
297,PostgreSQL
297,Python
298,Redes
298,ITIL
299,PostgreSQL
299,Node.js
300,ITIL
300,Redes
301,ITIL
301,Redes
302,Docker
302,Python
302,Java
303,Java
303,AWS
304,TypeScript
304,CSS
304,React
304,JavaScript
305,Power BI
305,Python
305,Excel Avançado
306,Power BI
306,SQL
306,Python
307,Windows Server
307,ITIL
307,Redes
308,SQL
308,Excel Avançado
308,Power BI
309,ITIL
309,Active Directory
309,Windows Server
309,Redes
310,AWS
310,Node.js
310,Java
311,Java
311,Docker
311,PostgreSQL
311,Python
312,SQL
312,Excel Avançado
312,Python
313,Java
313,AWS
313,Python
314,Python
314,Excel Avançado
314,Power BI
314,SQL
315,TypeScript
315,JavaScript
315,CSS
316,SQL
316,Power BI
316,Python
316,Excel Avançado
317,PostgreSQL
317,AWS
318,ITIL
318,Active Directory
318,Windows Server
319,Active Directory
319,ITIL
320,CSS
320,React
320,TypeScript
321,Java
321,AWS
321,Node.js
321,Docker
322,AWS
322,Java
322,Python
323,AWS
323,Java
323,Python
323,PostgreSQL
324,Power BI
324,SQL
324,Python
324,Excel Avançado
325,Redes
325,Windows Server
325,Active Directory
326,CSS
326,TypeScript
327,Python
327,Power BI
328,React
328,JavaScript
328,TypeScript
329,TypeScript
329,React
329,JavaScript
330,Python
330,PostgreSQL
330,AWS
330,Java
331,React
331,CSS
331,TypeScript
332,Windows Server
332,Active Directory
333,ITIL
333,Active Directory
334,PostgreSQL
334,AWS
335,Docker
335,PostgreSQL
336,AWS
336,PostgreSQL
337,Node.js
337,PostgreSQL
337,AWS
338,Active Directory
338,Redes
338,ITIL
338,Windows Server
339,PostgreSQL
339,Node.js
339,Python
340,Power BI
340,SQL
341,Python
341,SQL
341,Excel Avançado
342,Python
342,AWS
343,JavaScript
343,TypeScript
343,React
343,CSS
344,Python
344,AWS
344,PostgreSQL
345,CSS
345,JavaScript
345,React
346,Docker
346,Java
346,Node.js
346,AWS
347,AWS
347,Docker
348,Redes
348,ITIL
348,Windows Server
349,Java
349,Python
349,Node.js
349,Docker
350,Windows Server
350,ITIL
351,Redes
351,Windows Server
352,TypeScript
352,CSS
352,JavaScript
352,React
353,ITIL
353,Active Directory
353,Windows Server
354,React
354,JavaScript
354,CSS
355,AWS
355,Java
355,Python
355,Node.js
356,TypeScript
356,React
357,Power BI
357,SQL
357,Python
358,Python
358,Power BI
359,Windows Server
359,ITIL
360,Java
360,Node.js
360,Python
361,ITIL
361,Windows Server
361,Active Directory
361,Redes
362,Excel Avançado
362,Python
363,JavaScript
363,React
363,CSS
364,JavaScript
364,React
365,Redes
365,ITIL
365,Active Directory
366,Java
366,AWS
366,PostgreSQL
367,Python
367,AWS
368,Node.js
368,Docker
369,Active Directory
369,Windows Server
369,ITIL
370,CSS
370,React
370,JavaScript
371,Java
371,Python
372,SQL
372,Python
372,Power BI
372,Excel Avançado
373,Windows Server
373,Active Directory
374,Active Directory
374,Windows Server
375,Node.js
375,AWS
375,Python
375,PostgreSQL
376,CSS
376,JavaScript
377,Active Directory
377,Windows Server
377,ITIL
377,Redes
378,Java
378,Docker
378,PostgreSQL
379,ITIL
379,Active Directory
379,Windows Server
380,Python
380,SQL
381,SQL
381,Excel Avançado
381,Python
381,Power BI
382,React
382,JavaScript
383,Windows Server
383,Active Directory
384,AWS
384,Java
384,Node.js
385,Power BI
385,Python
386,TypeScript
386,CSS
387,Windows Server
387,ITIL
388,Active Directory
388,Windows Server
388,Redes
388,ITIL
389,Power BI
389,Python
389,Excel Avançado
389,SQL
390,SQL
390,Excel Avançado
390,Python
390,Power BI
391,TypeScript
391,CSS
391,React
392,Redes
392,ITIL
392,Windows Server
392,Active Directory
393,JavaScript
393,TypeScript
393,CSS
393,React
394,ITIL
394,Redes
394,Windows Server
394,Active Directory
395,AWS
395,Docker
395,Java
396,PostgreSQL
396,Node.js
396,Docker
397,Active Directory
397,Windows Server
397,Redes
397,ITIL
398,Windows Server
398,Redes
399,React
399,JavaScript
399,CSS
399,TypeScript
400,Docker
400,Java
401,Excel Avançado
401,Python
401,Power BI
402,Windows Server
402,Active Directory
402,ITIL
402,Redes
403,React
403,JavaScript
403,TypeScript
404,React
404,CSS
404,TypeScript
404,JavaScript
405,AWS
405,Java
406,Excel Avançado
406,Power BI
407,Python
407,AWS
408,AWS
408,Python
408,Node.js
408,Java
409,Docker
409,AWS
410,Docker
410,Java
410,Node.js
411,Node.js
411,Java
411,Python
412,JavaScript
412,TypeScript
413,Python
413,Java
414,JavaScript
414,CSS
415,ITIL
415,Redes
415,Active Directory
415,Windows Server
416,AWS
416,PostgreSQL
416,Docker
417,Python
417,PostgreSQL
418,SQL
418,Power BI
418,Excel Avançado
419,Node.js
419,Python
419,Java
419,AWS
420,React
420,CSS
420,TypeScript
420,JavaScript
421,Docker
421,PostgreSQL
422,Python
422,Docker
422,Java
423,CSS
423,JavaScript
423,React
423,TypeScript
424,JavaScript
424,CSS
425,Excel Avançado
425,Python
425,Power BI
425,SQL
426,Power BI
426,Excel Avançado
426,Python
426,SQL
427,Power BI
427,Excel Avançado
427,SQL
428,Power BI
428,Excel Avançado
429,ITIL
429,Active Directory
430,PostgreSQL
430,Docker
430,Java
431,Windows Server
431,ITIL
431,Active Directory
432,Redes
432,Windows Server
432,Active Directory
432,ITIL
433,AWS
433,Docker
433,Node.js
433,PostgreSQL
434,Docker
434,Node.js
435,ITIL
435,Redes
436,Power BI
436,Python
436,SQL
436,Excel Avançado
437,ITIL
437,Redes
438,ITIL
438,Windows Server
439,Excel Avançado
439,SQL
439,Python
439,Power BI
440,Active Directory
440,ITIL
441,ITIL
441,Redes
441,Active Directory
441,Windows Server
442,Excel Avançado
442,SQL
443,PostgreSQL
443,Java
443,Python
444,Power BI
444,Python
444,Excel Avançado
444,SQL
445,Java
445,PostgreSQL
445,Docker
445,Python
446,Docker
446,PostgreSQL
446,Python
446,AWS
447,AWS
447,Node.js
448,Power BI
448,Excel Avançado
449,Python
449,AWS
449,Java
449,Node.js
450,PostgreSQL
450,Python
450,Java
450,Node.js
451,Windows Server
451,Active Directory
452,Active Directory
452,ITIL
452,Redes
452,Windows Server
453,JavaScript
453,TypeScript
454,Active Directory
454,Windows Server
454,ITIL
455,Redes
455,Active Directory
456,Python
456,Excel Avançado
456,Power BI
456,SQL
457,SQL
457,Python
457,Excel Avançado
457,Power BI
458,Node.js
458,Java
458,Python
458,PostgreSQL
459,Redes
459,ITIL
459,Active Directory
459,Windows Server
460,Windows Server
460,ITIL
460,Active Directory
461,TypeScript
461,CSS
461,JavaScript
461,React
462,Redes
462,Windows Server
462,ITIL
462,Active Directory
463,Active Directory
463,Redes
463,ITIL
464,Python
464,AWS
464,Docker
464,Node.js
465,Docker
465,Node.js
466,TypeScript
466,JavaScript
467,Python
467,Power BI
467,SQL
467,Excel Avançado
468,Power BI
468,SQL
468,Excel Avançado
469,Power BI
469,Python
469,Excel Avançado
469,SQL
470,ITIL
470,Redes
470,Windows Server
470,Active Directory
471,PostgreSQL
471,Java
471,AWS
472,Python
472,Excel Avançado
472,SQL
472,Power BI
473,JavaScript
473,TypeScript
473,CSS
473,React
474,AWS
474,PostgreSQL
475,Python
475,SQL
476,Active Directory
476,ITIL
476,Windows Server
476,Redes
477,Docker
477,Java
477,AWS
478,Active Directory
478,Redes
478,Windows Server
478,ITIL
479,SQL
479,Excel Avançado
480,JavaScript
480,React
481,Redes
481,ITIL
481,Windows Server
481,Active Directory
482,TypeScript
482,CSS
482,JavaScript
483,PostgreSQL
483,Node.js
483,Java
483,Python
484,Java
484,Node.js
484,PostgreSQL
484,AWS
485,Power BI
485,Excel Avançado
485,Python
485,SQL
486,CSS
486,React
486,TypeScript
486,JavaScript
487,PostgreSQL
487,Java
488,SQL
488,Excel Avançado
488,Python
488,Power BI
489,Java
489,Node.js
489,Python
490,SQL
490,Excel Avançado
490,Python
491,Docker
491,AWS
492,Java
492,Python
493,SQL
493,Power BI
493,Excel Avançado
493,Python
494,React
494,TypeScript
494,JavaScript
495,JavaScript
495,TypeScript
495,React
495,CSS
496,ITIL
496,Redes
496,Windows Server
496,Active Directory
497,JavaScript
497,React
497,CSS
498,Excel Avançado
498,Python
498,SQL
499,Active Directory
499,ITIL
499,Redes
500,Windows Server
500,Redes
500,Active Directory
500,ITIL
501,Node.js
501,Java
501,Python
501,PostgreSQL
502,Active Directory
502,Windows Server
502,ITIL
502,Redes
503,TypeScript
503,React
503,JavaScript
503,CSS
504,React
504,CSS
504,JavaScript
505,Python
505,Node.js
505,Docker
505,PostgreSQL
506,ITIL
506,Active Directory
506,Windows Server
507,React
507,TypeScript
507,JavaScript
508,Redes
508,Windows Server
508,Active Directory
508,ITIL
509,TypeScript
509,React
510,Python
510,Excel Avançado
511,TypeScript
511,React
511,JavaScript
511,CSS
512,Python
512,Excel Avançado
512,Power BI
512,SQL
513,CSS
513,TypeScript
513,JavaScript
514,SQL
514,Excel Avançado
514,Power BI
515,Power BI
515,Python
515,Excel Avançado
516,Windows Server
516,ITIL
517,JavaScript
517,React
518,Java
518,Python
518,PostgreSQL
518,AWS
519,SQL
519,Excel Avançado
520,ITIL
520,Redes
520,Windows Server
520,Active Directory
521,Excel Avançado
521,Power BI
521,Python
521,SQL
522,TypeScript
522,JavaScript
523,CSS
523,React
524,ITIL
524,Active Directory
524,Windows Server
524,Redes
525,JavaScript
525,React
525,CSS
526,AWS
526,Docker
526,Node.js
526,Java
527,TypeScript
527,CSS
527,React
528,Node.js
528,AWS
529,Node.js
529,PostgreSQL
530,Active Directory
530,Redes
530,ITIL
531,Redes
531,Active Directory
531,ITIL
532,Java
532,PostgreSQL
533,TypeScript
533,JavaScript
533,CSS
534,Python
534,Java
534,AWS
535,Python
535,SQL
535,Power BI
536,Windows Server
536,Redes
537,AWS
537,Java
537,Python
538,Windows Server
538,Active Directory
538,Redes
539,CSS
539,JavaScript
539,TypeScript
540,Python
540,SQL
540,Power BI
540,Excel Avançado
541,Python
541,SQL
541,Excel Avançado
542,Redes
542,ITIL
543,Python
543,AWS
543,Java
543,Docker
544,Excel Avançado
544,Power BI
544,Python
545,Python
545,PostgreSQL
545,AWS
546,ITIL
546,Redes
547,Active Directory
547,ITIL
548,Excel Avançado
548,Power BI
549,Python
549,SQL
550,TypeScript
550,CSS
550,React
551,React
551,CSS
552,JavaScript
552,TypeScript
552,CSS
553,Java
553,Node.js
554,Python
554,SQL
554,Power BI
554,Excel Avançado
555,Python
555,Docker
555,PostgreSQL
556,JavaScript
556,TypeScript
556,React
557,ITIL
557,Windows Server
557,Redes
558,Redes
558,Active Directory
559,React
559,JavaScript
560,Python
560,Excel Avançado
561,Excel Avançado
561,Python
562,Java
562,PostgreSQL
562,Docker
562,Node.js
563,PostgreSQL
563,Node.js
563,Python
564,JavaScript
564,React
564,CSS
564,TypeScript
565,Java
565,Node.js
566,Java
566,Node.js
566,Python
566,AWS
567,Java
567,AWS
567,Node.js
567,PostgreSQL
568,AWS
568,Docker
568,Python
568,Java
569,Python
569,AWS
569,PostgreSQL
569,Node.js
570,PostgreSQL
570,Java
570,AWS
570,Node.js
571,Python
571,Power BI
572,ITIL
572,Windows Server
572,Redes
573,Node.js
573,Python
573,AWS
573,Java
574,PostgreSQL
574,Java
574,Python
575,Python
575,Power BI
575,SQL
576,Java
576,Docker
576,AWS
576,Python
577,Windows Server
577,Redes
578,Active Directory
578,Windows Server
579,ITIL
579,Active Directory
579,Redes
579,Windows Server
580,Python
580,Power BI
580,SQL
580,Excel Avançado
581,CSS
581,TypeScript
581,React
581,JavaScript
582,Node.js
582,PostgreSQL
583,Docker
583,PostgreSQL
583,Node.js
584,Power BI
584,Python
584,SQL
585,SQL
585,Power BI
585,Python
586,TypeScript
586,React
586,JavaScript
587,PostgreSQL
587,Python
587,Docker
587,AWS
588,JavaScript
588,CSS
588,React
589,AWS
589,Java
589,Python
589,PostgreSQL
590,React
590,CSS
590,TypeScript
590,JavaScript
591,Java
591,Python
592,Python
592,SQL
593,CSS
593,JavaScript
594,Python
594,Power BI
595,AWS
595,Node.js
596,Python
596,AWS
597,Python
597,Excel Avançado
597,Power BI
597,SQL
598,Docker
598,Python
598,Node.js
599,React
599,TypeScript
600,TypeScript
600,React
600,CSS
600,JavaScript
601,Excel Avançado
601,Python
601,SQL
601,Power BI
602,Python
602,Power BI
603,Python
603,Power BI
604,JavaScript
604,TypeScript
605,ITIL
605,Windows Server
606,AWS
606,PostgreSQL
607,JavaScript
607,TypeScript
607,React
607,CSS
608,Active Directory
608,Redes
608,Windows Server
609,PostgreSQL
609,Java
609,Python
609,Docker
610,TypeScript
610,React
611,React
611,JavaScript
612,AWS
612,Docker
612,Node.js
613,Python
613,Power BI
614,AWS
614,Docker
615,ITIL
615,Active Directory
615,Windows Server
615,Redes
616,TypeScript
616,JavaScript
617,Node.js
617,Docker
617,AWS
617,Java
618,Node.js
618,Docker
618,PostgreSQL
618,Python
619,PostgreSQL
619,Java
619,AWS
620,SQL
620,Python
620,Excel Avançado
620,Power BI
621,Excel Avançado
621,Python
621,SQL
621,Power BI
622,Node.js
622,AWS
622,PostgreSQL
622,Java
623,Docker
623,AWS
623,Java
624,Power BI
624,Excel Avançado
625,PostgreSQL
625,Python
625,Node.js
626,Windows Server
626,Active Directory
626,ITIL
626,Redes
627,CSS
627,JavaScript
627,TypeScript
628,SQL
628,Excel Avançado
629,AWS
629,Java
630,Node.js
630,Docker
630,AWS
631,Active Directory
631,ITIL
631,Windows Server
631,Redes
632,SQL
632,Python
632,Excel Avançado
633,CSS
633,TypeScript
633,JavaScript
634,Windows Server
634,Redes
634,Active Directory
635,React
635,JavaScript
635,TypeScript
636,Python
636,Excel Avançado
636,Power BI
637,Excel Avançado
637,Power BI
637,SQL
637,Python
638,Power BI
638,SQL
638,Python
638,Excel Avançado
639,Python
639,Docker
639,AWS
639,PostgreSQL
640,Power BI
640,Excel Avançado
640,SQL
640,Python
641,Excel Avançado
641,Python
641,Power BI
642,Power BI
642,SQL
642,Python
642,Excel Avançado
643,Python
643,Java
643,AWS
644,Active Directory
644,ITIL
645,Windows Server
645,Redes
645,Active Directory
646,Excel Avançado
646,Python
647,Node.js
647,Python
647,AWS
647,Docker
648,Windows Server
648,Redes
648,ITIL
648,Active Directory
649,ITIL
649,Redes
649,Active Directory
650,Power BI
650,Python
650,Excel Avançado
650,SQL
651,Python
651,Power BI
652,SQL
652,Python
653,Python
653,AWS
654,AWS
654,Python
654,Docker
654,PostgreSQL
655,SQL
655,Power BI
656,CSS
656,TypeScript
656,React
657,TypeScript
657,React
658,CSS
658,JavaScript
658,TypeScript
658,React
659,Python
659,Docker
660,SQL
660,Power BI
661,PostgreSQL
661,AWS
661,Docker
661,Java
662,PostgreSQL
662,Python
662,Node.js
662,Java
663,Node.js
663,Python
663,PostgreSQL
663,Java
664,PostgreSQL
664,Python
664,Node.js
664,Java
665,Docker
665,Java
665,PostgreSQL
665,AWS
666,Active Directory
666,Windows Server
667,Redes
667,ITIL
667,Active Directory
667,Windows Server
668,JavaScript
668,CSS
668,TypeScript
668,React
669,JavaScript
669,CSS
670,AWS
670,PostgreSQL
670,Node.js
671,Active Directory
671,ITIL
672,Docker
672,Java
672,PostgreSQL
673,Python
673,SQL
673,Excel Avançado
674,Excel Avançado
674,Power BI
674,Python
675,JavaScript
675,TypeScript
676,Redes
676,Active Directory
676,ITIL
677,Windows Server
677,Redes
677,Active Directory
677,ITIL
