id,cargo,cidade,senioridade,salario_min,salario_max,modalidade
106,Suporte / Infraestrutura,São Paulo - SP,Sênior,9547,15964,Remoto
107,Desenvolvimento Backend,São Paulo - SP,Pleno,5405,8734,Híbrido
108,Desenvolvimento Frontend,São Paulo - SP,Sênior,9646,15775,Presencial
109,Desenvolvimento Backend,São Paulo - SP,Júnior,2639,4400,Híbrido
110,Desenvolvimento Frontend,São Paulo - SP,Júnior,2598,4756,Remoto
111,Dados / BI,Rio de Janeiro - RJ,Pleno,5011,9399,Presencial
112,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10424,15886,Híbrido
113,Dados / BI,São Paulo - SP,Pleno,5369,9335,Híbrido
114,Dados / BI,São Paulo - SP,Pleno,5296,8923,Híbrido
115,Suporte / Infraestrutura,São Paulo - SP,Júnior,2638,4768,Presencial
116,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10323,15535,Presencial
117,Dados / BI,São Paulo - SP,Sênior,10366,16947,Remoto
118,Desenvolvimento Backend,São Paulo - SP,Júnior,2691,4664,Híbrido
119,Desenvolvimento Frontend,São Paulo - SP,Pleno,5482,9124,Presencial
120,Suporte / Infraestrutura,São Paulo - SP,Pleno,5071,8596,Remoto
121,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5189,9236,Híbrido
122,Desenvolvimento Backend,Remoto (Brasil),Pleno,5480,8836,Presencial
123,Dados / BI,São Paulo - SP,Júnior,2675,4508,Remoto
124,Dados / BI,Remoto (Brasil),Sênior,9965,15487,Presencial
125,Dados / BI,Rio de Janeiro - RJ,Júnior,2712,4711,Híbrido
126,Dados / BI,São Paulo - SP,Júnior,2537,4386,Presencial
127,Dados / BI,Rio de Janeiro - RJ,Júnior,2701,4441,Remoto
128,Desenvolvimento Frontend,São Paulo - SP,Pleno,5381,8615,Presencial
129,Dados / BI,São Paulo - SP,Sênior,10387,16649,Presencial
130,Desenvolvimento Frontend,São Paulo - SP,Júnior,2682,4785,Remoto
131,Dados / BI,Rio de Janeiro - RJ,Pleno,5299,9111,Remoto
132,Dados / BI,São Paulo - SP,Sênior,10166,16874,Presencial
133,Dados / BI,São Paulo - SP,Sênior,9908,16151,Remoto
134,Suporte / Infraestrutura,São Paulo - SP,Sênior,9568,15486,Híbrido
135,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2515,4620,Remoto
136,Dados / BI,São Paulo - SP,Pleno,5444,9487,Híbrido
137,Desenvolvimento Backend,São Paulo - SP,Pleno,5114,9417,Remoto
138,Dados / BI,Rio de Janeiro - RJ,Pleno,5392,9388,Remoto
139,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2586,4499,Remoto
140,Dados / BI,São Paulo - SP,Sênior,9593,16828,Remoto
141,Dados / BI,São Paulo - SP,Júnior,2741,4610,Híbrido
142,Desenvolvimento Frontend,São Paulo - SP,Júnior,2613,4658,Híbrido
143,Dados / BI,Rio de Janeiro - RJ,Pleno,5145,9244,Remoto
144,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2577,4428,Remoto
145,Dados / BI,São Paulo - SP,Júnior,2597,4592,Remoto
146,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2580,4614,Remoto
147,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2742,4636,Remoto
148,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5202,9441,Remoto
149,Suporte / Infraestrutura,São Paulo - SP,Pleno,5099,9477,Remoto
150,Dados / BI,Remoto (Brasil),Pleno,5389,9327,Híbrido
151,Dados / BI,São Paulo - SP,Pleno,5473,9453,Remoto
152,Dados / BI,São Paulo - SP,Pleno,5407,8831,Remoto
153,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9578,16620,Híbrido
154,Suporte / Infraestrutura,São Paulo - SP,Pleno,5021,9010,Presencial
155,Suporte / Infraestrutura,São Paulo - SP,Sênior,10357,16003,Remoto
156,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5267,9174,Híbrido
157,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2661,4651,Remoto
158,Suporte / Infraestrutura,São Paulo - SP,Pleno,5464,9167,Presencial
159,Desenvolvimento Backend,Remoto (Brasil),Pleno,5339,8951,Híbrido
160,Suporte / Infraestrutura,São Paulo - SP,Pleno,5424,9306,Remoto
161,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9849,16869,Remoto
162,Suporte / Infraestrutura,São Paulo - SP,Júnior,2697,4596,Híbrido
163,Dados / BI,Rio de Janeiro - RJ,Júnior,2677,4714,Remoto
164,Desenvolvimento Backend,Remoto (Brasil),Júnior,2613,4632,Presencial
165,Dados / BI,São Paulo - SP,Sênior,9698,16053,Híbrido
166,Dados / BI,São Paulo - SP,Júnior,2551,4730,Presencial
167,Suporte / Infraestrutura,São Paulo - SP,Júnior,2716,4584,Remoto
168,Suporte / Infraestrutura,São Paulo - SP,Sênior,9593,15754,Remoto
169,Desenvolvimento Backend,São Paulo - SP,Pleno,5041,8933,Remoto
170,Suporte / Infraestrutura,São Paulo - SP,Sênior,10212,15584,Presencial
171,Suporte / Infraestrutura,São Paulo - SP,Júnior,2538,4600,Remoto
172,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5406,9187,Híbrido
173,Desenvolvimento Backend,São Paulo - SP,Pleno,5367,8697,Remoto
174,Suporte / Infraestrutura,São Paulo - SP,Pleno,5043,9086,Presencial
175,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5191,8809,Híbrido
176,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10252,16849,Remoto
177,Suporte / Infraestrutura,Remoto (Brasil),Sênior,10201,16251,Híbrido
178,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2551,4342,Híbrido
179,Suporte / Infraestrutura,São Paulo - SP,Pleno,5129,8587,Presencial
180,Suporte / Infraestrutura,São Paulo - SP,Pleno,5139,8677,Presencial
181,Desenvolvimento Frontend,Remoto (Brasil),Sênior,10008,16717,Remoto
182,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2575,4484,Remoto
183,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2613,4499,Híbrido
184,Desenvolvimento Frontend,São Paulo - SP,Júnior,2671,4646,Remoto
185,Desenvolvimento Frontend,São Paulo - SP,Sênior,9875,16041,Presencial
186,Dados / BI,São Paulo - SP,Pleno,5293,8690,Remoto
187,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5255,9080,Remoto
188,Desenvolvimento Backend,São Paulo - SP,Pleno,5251,8754,Presencial
189,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2674,4752,Presencial
190,Dados / BI,São Paulo - SP,Pleno,5474,9267,Híbrido
191,Dados / BI,São Paulo - SP,Pleno,5184,9117,Remoto
192,Desenvolvimento Frontend,São Paulo - SP,Pleno,5245,9088,Híbrido
193,Suporte / Infraestrutura,São Paulo - SP,Pleno,5176,8681,Presencial
194,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2541,4485,Presencial
195,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2662,4602,Híbrido
196,Dados / BI,Remoto (Brasil),Pleno,5087,9224,Remoto
197,Desenvolvimento Backend,São Paulo - SP,Sênior,9771,16633,Presencial
198,Desenvolvimento Backend,São Paulo - SP,Pleno,5154,9044,Híbrido
199,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5237,8758,Remoto
200,Suporte / Infraestrutura,São Paulo - SP,Júnior,2602,4386,Remoto
201,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2512,4468,Presencial
202,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2540,4575,Remoto
203,Desenvolvimento Backend,Remoto (Brasil),Pleno,5494,8796,Híbrido
204,Dados / BI,Rio de Janeiro - RJ,Pleno,5240,8842,Presencial
205,Desenvolvimento Frontend,São Paulo - SP,Pleno,5187,8596,Remoto
206,Dados / BI,Remoto (Brasil),Pleno,5422,9188,Remoto
207,Suporte / Infraestrutura,São Paulo - SP,Júnior,2740,4507,Remoto
208,Dados / BI,São Paulo - SP,Pleno,5411,9035,Presencial
209,Suporte / Infraestrutura,São Paulo - SP,Pleno,5315,9307,Híbrido
210,Dados / BI,Remoto (Brasil),Júnior,2528,4533,Presencial
211,Dados / BI,São Paulo - SP,Sênior,10091,15766,Presencial
212,Desenvolvimento Backend,São Paulo - SP,Pleno,5358,8662,Remoto
213,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5313,9492,Híbrido
214,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5192,8871,Híbrido
215,Desenvolvimento Backend,São Paulo - SP,Pleno,5411,9259,Híbrido
216,Desenvolvimento Backend,São Paulo - SP,Sênior,9804,16879,Remoto
217,Desenvolvimento Backend,Remoto (Brasil),Sênior,10314,16777,Remoto
218,Desenvolvimento Backend,São Paulo - SP,Sênior,10291,16947,Remoto
219,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2622,4429,Remoto
220,Suporte / Infraestrutura,São Paulo - SP,Júnior,2512,4662,Remoto
221,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5348,9339,Híbrido
222,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2573,4650,Remoto
223,Desenvolvimento Frontend,São Paulo - SP,Sênior,9538,15658,Híbrido
224,Desenvolvimento Backend,São Paulo - SP,Pleno,5446,9498,Híbrido
225,Suporte / Infraestrutura,São Paulo - SP,Sênior,9791,16230,Remoto
226,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2617,4651,Híbrido
227,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5089,9175,Remoto
228,Desenvolvimento Frontend,São Paulo - SP,Júnior,2535,4564,Remoto
229,Dados / BI,São Paulo - SP,Júnior,2584,4474,Remoto
230,Desenvolvimento Frontend,São Paulo - SP,Júnior,2603,4671,Remoto
231,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,9989,15613,Híbrido
232,Dados / BI,Remoto (Brasil),Pleno,5403,8633,Presencial
233,Desenvolvimento Backend,São Paulo - SP,Júnior,2637,4396,Híbrido
234,Desenvolvimento Frontend,São Paulo - SP,Pleno,5414,8606,Híbrido
235,Desenvolvimento Backend,São Paulo - SP,Júnior,2565,4738,Remoto
236,Suporte / Infraestrutura,São Paulo - SP,Júnior,2515,4798,Remoto
237,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5373,9211,Remoto
238,Dados / BI,Rio de Janeiro - RJ,Pleno,5276,8686,Híbrido
239,Desenvolvimento Backend,Remoto (Brasil),Júnior,2500,4707,Híbrido
240,Desenvolvimento Backend,Remoto (Brasil),Júnior,2588,4399,Híbrido
241,Desenvolvimento Backend,Remoto (Brasil),Júnior,2552,4354,Híbrido
242,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2511,4525,Remoto
243,Suporte / Infraestrutura,São Paulo - SP,Pleno,5295,9162,Presencial
244,Dados / BI,São Paulo - SP,Pleno,5140,8612,Remoto
245,Dados / BI,Rio de Janeiro - RJ,Pleno,5195,9354,Remoto
246,Desenvolvimento Backend,São Paulo - SP,Pleno,5434,8780,Remoto
247,Desenvolvimento Backend,São Paulo - SP,Pleno,5198,8798,Presencial
248,Desenvolvimento Backend,Remoto (Brasil),Pleno,5097,8602,Remoto
249,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5286,8772,Presencial
250,Suporte / Infraestrutura,São Paulo - SP,Júnior,2693,4565,Híbrido
251,Desenvolvimento Backend,Remoto (Brasil),Pleno,5183,8865,Híbrido
252,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9879,15940,Remoto
253,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5213,8852,Híbrido
254,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5131,9331,Remoto
255,Dados / BI,Rio de Janeiro - RJ,Pleno,5469,9460,Presencial
256,Suporte / Infraestrutura,São Paulo - SP,Pleno,5211,8690,Remoto
257,Dados / BI,São Paulo - SP,Pleno,5030,9182,Remoto
258,Desenvolvimento Backend,Remoto (Brasil),Júnior,2635,4689,Híbrido
259,Desenvolvimento Backend,São Paulo - SP,Júnior,2524,4588,Remoto
260,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9580,16064,Remoto
261,Suporte / Infraestrutura,São Paulo - SP,Júnior,2719,4652,Remoto
262,Desenvolvimento Backend,Remoto (Brasil),Pleno,5359,8725,Presencial
263,Dados / BI,São Paulo - SP,Júnior,2730,4764,Híbrido
264,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5336,8583,Híbrido
265,Desenvolvimento Backend,São Paulo - SP,Pleno,5039,8856,Híbrido
266,Suporte / Infraestrutura,São Paulo - SP,Pleno,5378,8693,Remoto
267,Dados / BI,São Paulo - SP,Júnior,2654,4713,Híbrido
268,Desenvolvimento Frontend,São Paulo - SP,Júnior,2641,4512,Híbrido
269,Dados / BI,Remoto (Brasil),Júnior,2682,4721,Remoto
270,Desenvolvimento Backend,São Paulo - SP,Pleno,5389,8826,Remoto
271,Desenvolvimento Frontend,São Paulo - SP,Pleno,5013,8641,Remoto
272,Suporte / Infraestrutura,São Paulo - SP,Sênior,10242,16445,Remoto
273,Desenvolvimento Backend,São Paulo - SP,Júnior,2626,4394,Híbrido
274,Dados / BI,Remoto (Brasil),Júnior,2563,4689,Remoto
275,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2658,4514,Híbrido
276,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9639,15915,Presencial
277,Desenvolvimento Frontend,São Paulo - SP,Júnior,2677,4644,Híbrido
278,Dados / BI,São Paulo - SP,Júnior,2644,4422,Presencial
279,Desenvolvimento Backend,São Paulo - SP,Sênior,10351,16718,Híbrido
280,Suporte / Infraestrutura,São Paulo - SP,Pleno,5366,8983,Híbrido
281,Dados / BI,Rio de Janeiro - RJ,Pleno,5471,9440,Híbrido
282,Desenvolvimento Backend,São Paulo - SP,Júnior,2665,4633,Remoto
283,Dados / BI,Rio de Janeiro - RJ,Júnior,2691,4585,Híbrido
284,Suporte / Infraestrutura,São Paulo - SP,Pleno,5077,8903,Presencial
285,Desenvolvimento Frontend,São Paulo - SP,Sênior,10247,15590,Remoto
286,Desenvolvimento Backend,São Paulo - SP,Pleno,5231,8876,Remoto
287,Suporte / Infraestrutura,São Paulo - SP,Júnior,2704,4404,Remoto
288,Dados / BI,Rio de Janeiro - RJ,Pleno,5408,8964,Remoto
289,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2651,4539,Híbrido
290,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5187,8883,Híbrido
291,Dados / BI,Rio de Janeiro - RJ,Pleno,5312,8951,Híbrido
292,Desenvolvimento Backend,São Paulo - SP,Júnior,2657,4622,Remoto
293,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5072,9073,Remoto
294,Dados / BI,São Paulo - SP,Pleno,5330,8727,Remoto
295,Desenvolvimento Frontend,São Paulo - SP,Júnior,2591,4324,Híbrido
296,Suporte / Infraestrutura,São Paulo - SP,Pleno,5212,9277,Híbrido
297,Desenvolvimento Backend,São Paulo - SP,Júnior,2557,4595,Híbrido
298,Suporte / Infraestrutura,São Paulo - SP,Pleno,5187,9105,Remoto
299,Desenvolvimento Backend,Remoto (Brasil),Pleno,5334,9319,Remoto
300,Suporte / Infraestrutura,São Paulo - SP,Pleno,5060,9344,Híbrido
301,Suporte / Infraestrutura,São Paulo - SP,Pleno,5401,8761,Remoto
302,Desenvolvimento Backend,Remoto (Brasil),Júnior,2680,4469,Presencial
303,Desenvolvimento Backend,Remoto (Brasil),Sênior,9783,16643,Híbrido
304,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5346,8952,Remoto
305,Dados / BI,São Paulo - SP,Sênior,9595,16125,Remoto
306,Dados / BI,São Paulo - SP,Sênior,10250,15490,Remoto
307,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2568,4485,Híbrido
308,Dados / BI,São Paulo - SP,Pleno,5023,8651,Remoto
309,Suporte / Infraestrutura,São Paulo - SP,Sênior,9707,16710,Híbrido
310,Desenvolvimento Backend,São Paulo - SP,Pleno,5462,9214,Remoto
311,Desenvolvimento Backend,São Paulo - SP,Júnior,2554,4564,Remoto
312,Dados / BI,Remoto (Brasil),Júnior,2720,4536,Remoto
313,Desenvolvimento Backend,São Paulo - SP,Júnior,2594,4771,Híbrido
314,Dados / BI,São Paulo - SP,Pleno,5225,8909,Remoto
315,Desenvolvimento Frontend,São Paulo - SP,Pleno,5301,9297,Remoto
316,Dados / BI,São Paulo - SP,Pleno,5307,9288,Híbrido
317,Desenvolvimento Backend,São Paulo - SP,Pleno,5151,9211,Remoto
318,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5270,9460,Presencial
319,Suporte / Infraestrutura,São Paulo - SP,Júnior,2674,4408,Remoto
320,Desenvolvimento Frontend,São Paulo - SP,Júnior,2515,4724,Remoto
321,Desenvolvimento Backend,Remoto (Brasil),Pleno,5142,8635,Híbrido
322,Desenvolvimento Backend,Remoto (Brasil),Pleno,5329,8617,Remoto
323,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2656,4631,Híbrido
324,Dados / BI,Remoto (Brasil),Júnior,2743,4497,Híbrido
325,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5060,9339,Remoto
326,Desenvolvimento Frontend,São Paulo - SP,Pleno,5254,9016,Remoto
327,Dados / BI,São Paulo - SP,Sênior,10415,16475,Híbrido
328,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9750,15394,Híbrido
329,Desenvolvimento Frontend,São Paulo - SP,Pleno,5214,8779,Híbrido
330,Desenvolvimento Backend,Remoto (Brasil),Pleno,5026,8733,Presencial
331,Desenvolvimento Frontend,São Paulo - SP,Júnior,2522,4603,Híbrido
332,Suporte / Infraestrutura,São Paulo - SP,Júnior,2748,4572,Remoto
333,Suporte / Infraestrutura,São Paulo - SP,Júnior,2588,4645,Híbrido
334,Desenvolvimento Backend,Remoto (Brasil),Pleno,5157,8656,Presencial
335,Desenvolvimento Backend,São Paulo - SP,Júnior,2571,4367,Híbrido
336,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9586,16489,Remoto
337,Desenvolvimento Backend,São Paulo - SP,Pleno,5493,8683,Remoto
338,Suporte / Infraestrutura,São Paulo - SP,Júnior,2551,4389,Remoto
339,Desenvolvimento Backend,Remoto (Brasil),Júnior,2591,4714,Remoto
340,Dados / BI,São Paulo - SP,Júnior,2680,4676,Remoto
341,Dados / BI,Rio de Janeiro - RJ,Júnior,2631,4345,Presencial
342,Desenvolvimento Backend,Remoto (Brasil),Pleno,5048,9023,Remoto
343,Desenvolvimento Frontend,São Paulo - SP,Júnior,2550,4741,Remoto
344,Desenvolvimento Backend,Remoto (Brasil),Sênior,9954,16957,Remoto
345,Desenvolvimento Frontend,São Paulo - SP,Pleno,5370,8954,Remoto
346,Desenvolvimento Backend,São Paulo - SP,Júnior,2726,4396,Remoto
347,Desenvolvimento Backend,Remoto (Brasil),Júnior,2571,4516,Remoto
348,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5009,8941,Remoto
349,Desenvolvimento Backend,São Paulo - SP,Júnior,2569,4412,Híbrido
